Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
2-Formyl-imidazole anion ,N39,N-Nucleophile,Water,11.070,0.500,-337.153,-339.166,-2.013,-0.277,-0.201,0.076,0.131,-0.024,-0.155,0.073,0.113,0.040,0.408,0.177,-0.231,-0.073,-0.113,-0.040,0.007,0.036,0.029,3.011,3.444,0.433,-211517.411,-212783.688,-1266.277,-211539.320,-212805.815,-1266.495,-0.615,-0.568,0.047,95.079,134.909,126.641,1.106,8.285,1.767,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"5,6-Dimethyl-benzimidazole ",N40,N-Nucleophile,Water,11.080,0.710,-455.660,-458.625,-2.965,-0.299,-0.227,0.072,0.121,-0.023,-0.144,0.089,0.125,0.036,0.420,0.204,-0.216,-0.089,-0.125,-0.036,0.009,0.038,0.029,4.691,4.634,-0.057,-285809.203,-287676.403,-1867.200,-285836.333,-287704.135,-1867.802,-0.612,-0.546,0.066,146.189,207.371,226.583,1.154,10.016,2.327,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Methylpyridine ,N41,N-Nucleophile,Water,11.100,0.750,-285.804,-287.681,-1.877,-0.349,-0.267,0.082,0.117,-0.032,-0.149,0.116,0.150,0.034,0.466,0.235,-0.231,-0.116,-0.150,-0.034,0.014,0.048,0.033,3.552,3.540,-0.012,-179263.588,-180445.828,-1182.240,-179263.588,-180469.374,-1205.786,-0.559,-0.498,0.061,93.126,155.573,157.042,1.105,7.893,1.749,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"4-Amino-3,5-dibromo-pyridine ",N42,N-Nucleophile,MeCN,11.110,0.750,-5445.373,-5450.816,-5.443,-0.340,-0.243,0.097,0.106,-0.037,-0.143,0.117,0.140,0.023,0.446,0.206,-0.240,-0.117,-0.140,-0.023,0.015,0.048,0.032,3.204,3.831,0.627,-3416960.545,-3420380.252,-3419.707,-3416988.198,-3420408.603,-3420.405,-0.802,-0.747,0.055,251.907,185.356,196.772,1.133,9.478,2.579,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
N-(phenylmethyl)propan-2-imine (in CH2Cl2),N43,N-Nucleophile,Dichloromethane,11.130,0.730,-440.794,-443.753,-2.959,-0.328,-0.246,0.082,0.133,-0.016,-0.149,0.098,0.131,0.034,0.461,0.230,-0.231,-0.098,-0.131,-0.034,0.010,0.037,0.027,3.163,3.167,0.004,-276458.334,-278323.245,-1864.911,-276489.418,-278355.138,-1865.720,-0.588,-0.520,0.068,147.217,235.735,256.268,1.208,11.709,2.809,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Thymine anion ,N44,N-Nucleophile,Water,11.170,0.510,-451.148,-453.794,-2.646,-0.282,-0.188,0.094,0.153,0.000,-0.153,0.065,0.094,0.030,0.435,0.188,-0.247,-0.065,-0.094,-0.030,0.005,0.024,0.019,5.708,5.148,-0.560,-283026.448,-284691.657,-1665.208,-283051.421,-284717.322,-1665.900,-0.806,-0.650,0.156,125.105,161.423,162.731,1.120,8.781,2.018,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
1-Phenyl-imidazole ,N45,N-Nucleophile,MeCN,11.310,0.670,-454.468,-457.388,-2.920,-0.325,-0.240,0.085,0.115,-0.032,-0.147,0.105,0.136,0.031,0.440,0.208,-0.232,-0.105,-0.136,-0.031,0.013,0.044,0.032,5.105,4.941,-0.164,-285076.223,-286914.673,-1838.449,-285102.550,-286941.613,-1839.062,-0.596,-0.533,0.063,144.173,201.948,216.182,1.160,10.814,2.431,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
4-Nitro-imidazole anion ,N46,N-Nucleophile,Water,11.370,0.530,-427.931,-430.375,-2.444,-0.302,-0.217,0.085,0.095,-0.062,-0.157,0.104,0.140,0.036,0.397,0.155,-0.242,-0.104,-0.140,-0.036,0.013,0.063,0.049,1.376,1.387,0.011,-268485.261,-270022.415,-1537.154,-268508.177,-270045.738,-1537.562,-0.658,-0.585,0.073,112.067,135.481,127.577,1.106,8.138,1.845,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Ammonia ,N47,N-Nucleophile,MeCN,11.390,0.690,-56.216,-56.581,-0.365,-0.430,-0.267,0.163,0.164,0.045,-0.119,0.133,0.111,-0.022,0.594,0.312,-0.282,-0.133,-0.111,0.022,0.015,0.020,0.005,1.994,1.996,0.002,-35250.710,-35481.444,-230.733,-35264.384,-35495.149,-230.765,-1.024,-1.043,-0.019,17.031,61.171,43.826,1.018,4.019,0.423,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
tert-Butyl hydrazinecarboxylate ,N48,N-Nucleophile,MeCN,11.400,0.700,-455.082,-457.850,-2.768,-0.411,-0.268,0.143,0.155,0.040,-0.115,0.128,0.114,-0.014,0.566,0.308,-0.258,-0.128,-0.114,0.014,0.014,0.021,0.007,2.248,1.932,-0.316,-285440.661,-287184.947,-1744.286,-285470.183,-287215.302,-1745.120,-0.519,-0.469,0.050,132.161,199.120,212.023,1.158,9.608,2.201,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Hydroxylamine,N49,N-Nucleophile,Water,11.410,0.550,-131.035,-131.763,-0.728,-0.422,-0.264,0.158,0.171,0.048,-0.123,0.126,0.108,-0.018,0.593,0.312,-0.281,-0.126,-0.108,0.018,0.013,0.019,0.005,0.809,0.748,-0.061,-82195.353,-82654.804,-459.452,-82212.037,-82671.605,-459.567,-0.489,-0.525,-0.036,33.030,73.870,56.237,1.041,4.959,0.804,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
1-(Trimethylsilyl)-imidazole ,N50,N-Nucleophile,MeCN,11.430,0.790,-632.180,-635.048,-2.868,-0.325,-0.235,0.090,0.140,0.015,-0.125,0.093,0.110,0.018,0.465,0.250,-0.215,-0.093,-0.110,-0.018,0.009,0.024,0.015,5.626,5.811,0.185,-396576.766,-398383.060,-1806.294,-396606.996,-398414.095,-1807.099,-0.609,-0.548,0.061,140.258,213.034,237.298,1.149,9.560,2.182,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
4-Methoxypyridine,N51,N-Nucleophile,Water,11.440,0.680,-360.667,-362.903,-2.236,-0.355,-0.272,0.083,0.119,-0.033,-0.152,0.118,0.153,0.035,0.474,0.239,-0.235,-0.118,-0.153,-0.035,0.015,0.049,0.034,3.380,3.320,-0.060,-226236.402,-227645.298,-1408.896,-226259.572,-227668.915,-1409.343,-0.562,-0.498,0.064,109.126,167.243,169.599,1.129,8.618,1.946,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Imidazole ,N52,N-Nucleophile,MeCN,11.470,0.790,-224.881,-226.287,-1.406,-0.327,-0.238,0.089,0.165,0.020,-0.145,0.081,0.109,0.028,0.492,0.258,-0.234,-0.081,-0.109,-0.028,0.007,0.023,0.016,4.889,4.787,-0.102,-141064.376,-141949.859,-885.483,-141083.581,-141969.244,-885.663,-0.588,-0.530,0.058,68.077,115.407,105.563,1.069,6.613,1.246,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
3-Methylpyridine ,N53,N-Nucleophile,MeCN,11.500,0.800,-285.802,-287.680,-1.878,-0.340,-0.262,0.078,0.112,-0.035,-0.147,0.114,0.149,0.035,0.452,0.227,-0.225,-0.114,-0.149,-0.035,0.014,0.049,0.034,3.242,3.220,-0.022,-179261.697,-180445.117,-1183.420,-179284.692,-180468.461,-1183.769,-0.533,-0.484,0.049,93.126,155.592,157.027,1.106,8.241,1.743,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"2,4-Dimethyl-imidazole ",N54,N-Nucleophile,MeCN,11.510,0.840,-263.933,-265.619,-1.686,-0.318,-0.229,0.089,0.159,0.022,-0.137,0.080,0.104,0.024,0.477,0.251,-0.226,-0.080,-0.104,-0.024,0.007,0.021,0.015,4.880,4.766,-0.114,-165550.728,-166612.990,-1062.262,-165572.722,-166635.252,-1062.530,-0.441,-0.541,-0.100,82.104,140.224,134.401,1.105,7.759,1.545,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Benzotriazole anion ,N55,N-Nucleophile,Water,11.520,0.670,-393.035,-395.496,-2.461,-0.285,-0.204,0.081,0.126,-0.016,-0.142,0.080,0.110,0.031,0.411,0.188,-0.223,-0.080,-0.110,-0.031,0.008,0.032,0.024,8.922,8.521,-0.401,-246566.629,-248115.251,-1548.622,-246589.121,-248138.162,-1549.041,-0.452,-0.411,0.041,118.116,155.372,157.726,1.101,8.272,1.886,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Imidazole ,N56,N-Nucleophile,DMSO,11.580,0.790,-224.882,-226.287,-1.405,-0.327,-0.239,0.088,0.165,0.020,-0.145,0.081,0.110,0.029,0.492,0.259,-0.233,-0.081,-0.110,-0.029,0.007,0.023,0.016,4.900,4.800,-0.100,-141064.461,-141949.935,-885.474,-141083.665,-141969.318,-885.653,-0.588,-0.530,0.058,68.077,115.407,105.564,1.069,6.613,1.246,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
4-Methyl-quinoline ,N57,N-Nucleophile,MeCN,11.600,0.620,-438.486,-441.360,-2.874,-0.316,-0.241,0.075,0.077,-0.063,-0.140,0.120,0.152,0.033,0.393,0.178,-0.215,-0.120,-0.152,-0.033,0.018,0.065,0.047,3.564,3.503,-0.061,-275039.677,-276849.580,-1809.903,-275065.527,-276876.090,-1810.562,-0.551,-0.490,0.061,143.185,202.876,222.072,1.144,9.695,2.216,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Nicotine,N58,N-Nucleophile,MeCN,11.600,0.810,-495.836,-499.115,-3.279,-0.341,-0.226,0.115,0.111,-0.036,-0.147,0.115,0.131,0.016,0.452,0.190,-0.262,-0.115,-0.131,-0.016,0.015,0.045,0.031,3.071,3.134,0.063,-310983.521,-313050.657,-2067.136,-311013.555,-313081.261,-2067.707,-0.536,-0.484,0.052,162.232,233.804,266.573,1.167,10.707,2.514,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Guanine anion ,N59,N-Nucleophile,Water,11.630,0.590,-539.064,-542.237,-3.173,-0.268,-0.184,0.084,0.162,0.011,-0.151,0.053,0.087,0.034,0.430,0.195,-0.235,-0.053,-0.087,-0.034,0.003,0.019,0.016,10.919,10.551,-0.368,-338191.870,-340188.632,-1996.761,-338217.375,-340214.761,-1997.386,-0.720,-0.634,0.086,150.118,174.134,177.239,1.141,9.803,2.171,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Chloropyridine ,N60,N-Nucleophile,Dichloromethane,11.700,0.670,-705.676,-707.972,-2.296,-0.363,-0.278,0.085,0.101,-0.046,-0.147,0.131,0.162,0.031,0.464,0.232,-0.232,-0.131,-0.162,-0.031,0.018,0.057,0.038,0.475,0.624,0.149,-442761.477,-444205.956,-1444.479,-442783.741,-444228.581,-1444.840,-0.533,-0.478,0.055,113.545,148.870,147.568,1.103,7.292,1.902,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"1,1-Dimethylhydrazine ",N61,N-Nucleophile,MeCN,11.720,0.730,-189.289,-190.543,-1.254,-0.337,-0.202,0.135,0.156,0.039,-0.117,0.091,0.082,-0.009,0.493,0.241,-0.252,-0.091,-0.082,0.009,0.008,0.014,0.005,0.633,0.769,0.136,-118703.864,-119495.497,-791.632,-118724.898,-119516.740,-791.842,-0.670,-0.683,-0.013,60.098,126.396,120.681,1.070,6.579,1.334,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
2-Methyl-imidazole ,N62,N-Nucleophile,MeCN,11.740,0.760,-263.933,-265.619,-1.686,-0.318,-0.229,0.089,0.159,0.022,-0.137,0.080,0.104,0.024,0.477,0.251,-0.226,-0.080,-0.104,-0.024,0.007,0.021,0.015,4.880,4.766,-0.114,-165550.728,-166612.989,-1062.261,-165572.722,-166635.246,-1062.525,-0.603,-0.541,0.062,82.104,140.225,134.432,1.105,7.759,1.545,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
4-Methyl-imidazole ,N63,N-Nucleophile,MeCN,11.790,0.770,-263.931,-265.618,-1.687,-0.318,-0.229,0.089,0.166,0.023,-0.143,0.076,0.103,0.027,0.484,0.252,-0.232,-0.076,-0.103,-0.027,0.006,0.021,0.015,4.532,4.449,-0.083,-165548.967,-166611.739,-1062.772,-165570.498,-166633.691,-1063.193,-0.588,-0.530,0.058,82.104,140.220,134.406,1.105,7.753,1.557,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
1-Methyl-imidazole ,N64,N-Nucleophile,MeCN,11.900,0.730,-263.919,-265.606,-1.687,-0.324,-0.236,0.088,0.160,0.017,-0.143,0.082,0.110,0.028,0.484,0.253,-0.231,-0.082,-0.110,-0.028,0.007,0.024,0.017,5.349,5.242,-0.107,-165541.441,-166604.261,-1062.820,-165563.295,-166626.361,-1063.066,-0.613,-0.549,0.064,82.104,139.069,134.458,1.096,7.716,1.537,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Isopropylamine ,N65,N-Nucleophile,Water,12.000,0.600,-173.341,-174.548,-1.207,-0.390,-0.243,0.147,0.155,0.039,-0.116,0.118,0.102,-0.016,0.545,0.282,-0.263,-0.118,-0.102,0.016,0.013,0.018,0.006,1.787,1.758,-0.029,-108689.195,-109451.368,-762.174,-108710.246,-109472.724,-762.479,-0.871,-0.867,0.004,59.110,132.370,129.216,1.071,6.728,1.407,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Methyl glycinate ,N66,N-Nucleophile,Water,12.080,0.600,-321.955,-323.835,-1.880,-0.404,-0.251,0.153,0.159,0.002,-0.157,0.123,0.125,0.002,0.563,0.253,-0.310,-0.123,-0.125,-0.002,0.013,0.031,0.017,3.412,3.035,-0.377,-201952.466,-203136.920,-1184.454,-201976.829,-203161.843,-1185.014,-0.845,-0.844,0.001,89.093,147.067,140.166,1.127,8.794,1.780,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Guanosine anion ,N67,N-Nucleophile,Water,12.090,0.520,-1032.626,-1038.592,-5.966,-0.274,-0.185,0.089,0.155,0.009,-0.146,0.060,0.088,0.029,0.429,0.194,-0.235,-0.060,-0.088,-0.029,0.004,0.020,0.016,26.173,26.053,-0.120,-647807.198,-651562.938,-3755.739,-647847.874,-651604.087,-3756.213,-0.822,-0.704,0.118,282.233,301.876,340.399,1.281,12.421,3.418,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Thiocyanate ,N68,N-Nucleophile,MeCN,12.130,0.600,-490.012,-491.249,-1.237,-0.318,-0.211,0.107,0.194,0.073,-0.121,0.062,0.069,0.007,0.512,0.284,-0.228,-0.062,-0.069,-0.007,0.004,0.008,0.005,0.995,1.413,0.418,-307478.714,-308255.531,-776.817,-307495.256,-308272.133,-776.877,-0.616,-0.577,0.039,58.082,86.945,70.962,1.049,6.194,1.210,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"2,2,2-Trifluoroethylamine ",N69,N-Nucleophile,DMSO,12.150,0.650,-430.968,-433.038,-2.070,-0.417,-0.262,0.155,0.163,0.041,-0.122,0.127,0.111,-0.017,0.580,0.303,-0.277,-0.127,-0.111,0.017,0.014,0.020,0.006,4.101,3.898,-0.203,-270384.742,-271687.409,-1302.667,-270407.486,-271710.620,-1303.134,-0.853,-0.847,0.006,99.055,120.535,110.041,1.086,7.043,1.530,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
4-Aminopyridine ,N70,N-Nucleophile,Water,12.190,0.660,-301.813,-303.735,-1.922,-0.331,-0.231,0.100,0.131,-0.016,-0.147,0.100,0.124,0.024,0.462,0.215,-0.247,-0.100,-0.124,-0.024,0.011,0.035,0.025,4.867,5.472,0.605,-189315.871,-190526.541,-1210.670,-189337.831,-190548.911,-1211.080,-0.815,-0.539,0.276,94.115,148.086,147.262,1.098,7.801,1.720,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Glycylglycylglycine (anionic),N71,N-Nucleophile,Water,12.260,0.630,-696.199,-700.207,-4.008,-0.374,-0.219,0.155,0.161,0.014,-0.147,0.107,0.103,-0.004,0.535,0.233,-0.302,-0.107,-0.103,0.004,0.011,0.023,0.012,19.646,17.525,-2.121,-436742.183,-439265.999,-2523.816,-436778.495,-439303.486,-2524.991,-0.693,-0.616,0.077,188.161,239.205,250.200,1.246,14.332,3.520,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Glycineamide ,N72,N-Nucleophile,Water,12.290,0.580,-170.938,-172.054,-1.116,-0.391,-0.254,0.137,0.153,0.020,-0.133,0.119,0.117,-0.002,0.544,0.274,-0.270,-0.119,-0.117,0.002,0.013,0.025,0.012,2.185,2.173,-0.012,-107211.738,-107915.401,-703.663,-107231.831,-107935.847,-704.016,-0.836,-0.833,0.003,55.079,119.996,106.986,1.101,7.844,1.503,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Propargylamine ,N73,N-Nucleophile,Water,12.290,0.590,-263.089,-264.653,-1.564,-0.398,-0.245,0.153,0.158,0.017,-0.141,0.120,0.114,-0.006,0.556,0.262,-0.294,-0.120,-0.114,0.006,0.013,0.025,0.012,5.444,4.996,-0.448,-165024.832,-166010.503,-985.671,-165047.456,-166033.210,-985.754,-0.845,-0.787,0.058,74.082,126.529,118.018,1.088,7.710,1.541,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"2-Phenyl-4,5-dihydro-1H-imidazole ",N74,N-Nucleophile,Dichloromethane,12.310,0.770,-455.641,-458.597,-2.956,-0.329,-0.226,0.103,0.099,-0.043,-0.142,0.115,0.135,0.020,0.428,0.183,-0.245,-0.115,-0.135,-0.020,0.015,0.049,0.034,3.281,3.236,-0.045,-285795.686,-287658.045,-1862.360,-285822.745,-287685.736,-1862.991,-0.714,-0.653,0.061,146.189,211.575,228.270,1.172,10.704,2.480,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
tert-Butylamine ,N75,N-Nucleophile,MeCN,12.350,0.720,-212.387,-213.875,-1.488,-0.388,-0.243,0.145,0.150,0.034,-0.116,0.119,0.105,-0.015,0.538,0.277,-0.261,-0.119,-0.105,0.015,0.013,0.020,0.007,1.664,1.621,-0.043,-133171.541,-134111.036,-939.495,-133194.157,-134134.121,-939.964,-0.877,-0.871,0.006,73.137,149.097,155.119,1.068,6.726,1.514,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
